date,open,high,low,close,adj_open,adj_high,adj_low,adj_close,volume,buy_sell
2006/8/21,6715.72,6715.72,6498.18,6505.92,7657.74,7657.74,7409.68,7418.51,3366030,-62749
2006/8/22,6524.72,6590.2,6517.28,6590.2,7441.23,7515.91,7432.75,7515.91,2451340,-76846
2006/8/23,6584.66,6587.46,6454.71,6556.33,7509.82,7513.01,7361.61,7477.51,2773161,-133606
2006/8/24,6540.03,6570.62,6525.36,6550.64,7464.74,7499.66,7448,7476.85,2263079,-70663
2006/8/25,6594.82,6600.94,6526.22,6526.22,7529.47,7536.46,7451.15,7451.15,2201221,37115
2006/8/28,6515.08,6515.08,6422.38,6444.76,7438.44,7438.44,7332.6,7358.15,2319470,-58958
2006/8/29,6485.98,6500.89,6460.67,6479.91,7405.34,7422.36,7376.44,7398.41,2183479,27167
2006/8/30,6523.68,6602.81,6523.68,6587.12,7448.61,7538.95,7448.61,7521.04,2974086,186998
2006/8/31,6647.67,6667.62,6611.77,6611.77,7591.07,7613.86,7550.08,7550.08,2920873,203760
2006/9/1,6631.83,6658.13,6625.23,6651.46,7573.37,7603.41,7565.84,7595.79,2578051,139841
2006/9/4,6706.51,6761.65,6706.51,6750.78,7658.98,7721.95,7658.98,7709.54,3072763,160879
2006/9/5,6764.95,6766.81,6725.58,6734.73,7725.94,7728.07,7680.98,7691.43,2748703,141694
2006/9/6,6712.8,6747.98,6661.56,6688.4,7666.51,7706.68,7607.99,7638.64,2703403,8208
2006/9/7,6638.79,6689.2,6630.25,6685.23,7582.41,7639.98,7572.66,7635.45,2208987,-46204
2006/9/8,6664.11,6718.83,6654.77,6693.11,7611.46,7673.96,7600.79,7644.58,2349360,33735
2006/9/11,6714.36,6802.84,6674.55,6693.88,7669.26,7770.33,7623.79,7645.87,2748668,55093
2006/9/12,6698.38,6698.38,6620.71,6625.73,7651.21,7651.21,7562.5,7568.23,2431466,-56064
2006/9/13,6687.71,6690.29,6631.97,6664.87,7639.26,7642.21,7575.59,7613.17,2327836,106410
2006/9/14,6687.57,6691.51,6550.03,6598.87,7640.95,7645.45,7483.8,7539.6,2946018,110796
2006/9/15,6585.03,6681.09,6575.87,6681.09,7524.04,7633.8,7513.58,7633.8,2246864,158628
2006/9/18,6784.77,6886.3,6775.12,6882.48,7755.44,7871.5,7744.41,7867.13,3563958,401505
2006/9/19,6897.59,6915.08,6858.85,6881.87,7884.49,7904.48,7840.21,7866.52,3222827,251833
2006/9/20,6850.4,6890.63,6839.69,6877.77,7830.68,7876.67,7818.44,7861.97,2730228,17073
2006/9/21,6924.37,6938.93,6862.28,6889.89,7915.23,7931.88,7844.26,7875.82,3404911,128264
